,Port_x,Major/Minor ports,Port group,UK Country,id_Port,Police force region,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,average
24,Dover,Major port,Thames and Kent,England,24,Kent ,21551.0,20127.0,17719.0,17138.0,19432.0,18632.0,16879.0,17729.0,18396.0,17649.0,17239.0,13765.0,17995.76923076923
38,Grimsby & Immingham,Major port,Humber,England,38,Humberside,7334.0,7923.0,8752.0,9383.0,8799.0,8572.0,8959.0,8548.0,7912.0,7197.0,7126.0,6511.0,8039.692307692308
57,London,Major port,Thames and Kent,,57,Kent ,8268.0,8616.0,8598.0,8200.0,8416.0,7995.0,7386.0,7829.0,7808.0,7045.0,7037.0,5960.0,7676.0
54,Liverpool,Major port,Lancs and Cumbria,England,54,Cumbria,6213.0,8489.0,7755.0,6099.0,6206.0,7786.0,6161.0,6379.0,6621.0,6709.0,6520.0,5899.0,6721.307692307692
6,Belfast,Major port,Northern Ireland,Northern Ireland,6,Northern Ireland,5379.0,5623.0,5397.0,5425.0,5358.0,5500.0,5485.0,5615.0,5534.0,5474.0,5306.0,4951.0,5428.7692307692305
93,Southampton,Major port,Sussex and Hampshire,England,93,Sussex,4079.0,5098.0,5038.0,4733.0,4469.0,4656.0,4978.0,4912.0,4731.0,4470.0,4074.0,3531.0,4593.2307692307695
100,Tees and Hartlepool,Major port,North East,,100,Cleveland,4236.0,4671.0,4513.0,4419.0,3972.0,4014.0,4070.0,3837.0,3682.0,3596.0,3533.0,3480.0,3962.6153846153848
81,Portsmouth,Major port,Sussex and Hampshire,,81,Sussex,3533.0,3837.0,3792.0,3269.0,3218.0,3575.0,3814.0,3677.0,3685.0,3099.0,3137.0,2010.0,3389.769230769231
41,Holyhead,Major port,West and North Wales,Wales,41,North Wales,2902.0,3097.0,3018.0,3024.0,3027.0,3391.0,3227.0,3294.0,3220.0,3069.0,3108.0,2811.0,3102.230769230769
51,Larne,Major port,Northern Ireland,Northern Ireland,51,Northern Ireland,4150.0,4372.0,3802.0,3083.0,2867.0,2762.0,2686.0,2476.0,2478.0,2428.0,2326.0,1925.0,2909.3076923076924
